0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:42 +0700] "GET /QLCaNhan/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:42 +0700] "GET /QLCaNhan/plugin/fullcalendar.print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:42 +0700] "GET /QLCaNhan/img/carousel1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:42 +0700] "GET /QLCaNhan/img/carousel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:42 +0700] "GET /QLCaNhan/img/carousel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:42 +0700] "GET /QLCaNhan/img/carousel4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:13:42 +0700] "GET /QLCaNhan/bootstrap/img/body-brackground.jpeg HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:39 +0700] "GET /QLCaNhan/index.jsp HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:39 +0700] "GET /QLCaNhan/bootstrap/Css.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:39 +0700] "GET /QLCaNhan/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:40 +0700] "GET /QLCaNhan/angular-validate/font-awesome-4.6.3/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:40 +0700] "GET /QLCaNhan/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:40 +0700] "GET /QLCaNhan/bootstrap/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:40 +0700] "GET /QLCaNhan/plugin/fullcalendar.print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:40 +0700] "GET /QLCaNhan/plugin/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:40 +0700] "GET /QLCaNhan/plugin/lib/cupertino/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:47 +0700] "GET /QLCaNhan/img/carousel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:47 +0700] "GET /QLCaNhan/img/carousel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:47 +0700] "GET /QLCaNhan/img/carousel1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:47 +0700] "GET /QLCaNhan/img/carousel4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:18:48 +0700] "GET /QLCaNhan/bootstrap/img/body-brackground.jpeg HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:19:10 +0700] "GET /QLCaNhan/index.jsp HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:19:18 +0700] "GET /QLCaNhan/bootstrap/img/body-brackground.jpeg HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:19:27 +0700] "GET /QLCaNhan/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:53 +0700] "GET /QLCaNhan/index.jsp HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:53 +0700] "GET /QLCaNhan/bootstrap/Css.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:53 +0700] "GET /QLCaNhan/angular-validate/font-awesome-4.6.3/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:53 +0700] "GET /QLCaNhan/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:53 +0700] "GET /QLCaNhan/bootstrap/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:53 +0700] "GET /QLCaNhan/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:53 +0700] "GET /QLCaNhan/plugin/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:53 +0700] "GET /QLCaNhan/plugin/lib/cupertino/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:53 +0700] "GET /QLCaNhan/plugin/fullcalendar.print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:53 +0700] "GET /QLCaNhan/img/carousel1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:53 +0700] "GET /QLCaNhan/img/carousel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:53 +0700] "GET /QLCaNhan/img/carousel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:53 +0700] "GET /QLCaNhan/img/carousel4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:54 +0700] "GET /QLCaNhan/bootstrap/img/body-brackground.jpeg HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:54 +0700] "GET /QLCaNhan/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:59 +0700] "GET /QLCaNhan/index.jsp HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:59 +0700] "GET /QLCaNhan/bootstrap/Css.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:59 +0700] "GET /QLCaNhan/angular-validate/font-awesome-4.6.3/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:59 +0700] "GET /QLCaNhan/bootstrap/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:59 +0700] "GET /QLCaNhan/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:59 +0700] "GET /QLCaNhan/plugin/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:59 +0700] "GET /QLCaNhan/plugin/lib/cupertino/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:59 +0700] "GET /QLCaNhan/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:59 +0700] "GET /QLCaNhan/plugin/fullcalendar.print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:59 +0700] "GET /QLCaNhan/img/carousel1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:59 +0700] "GET /QLCaNhan/img/carousel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:21:21:59 +0700] "GET /QLCaNhan/img/carousel3.jpg HTTP/1.1" 304 -
