127.0.0.1 - - [16/Oct/2016:00:00:29 +0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Oct/2016:00:00:33 +0700] "GET /QLCaNhan/doimk.jsp HTTP/1.1" 200 9169
0:0:0:0:0:0:0:1 - - [16/Oct/2016:00:00:33 +0700] "GET /QLCaNhan/bootstrap/Css.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:00:00:33 +0700] "GET /QLCaNhan/angular-validate/font-awesome-4.6.3/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:00:00:33 +0700] "GET /QLCaNhan/plugin/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:00:00:33 +0700] "GET /QLCaNhan/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:00:00:33 +0700] "GET /QLCaNhan/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:00:00:33 +0700] "GET /QLCaNhan/plugin/lib/cupertino/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:00:00:33 +0700] "GET /QLCaNhan/plugin/fullcalendar.print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:00:00:33 +0700] "GET /QLCaNhan/bootstrap/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:00:00:33 +0700] "GET /QLCaNhan/plugin/lib/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:00:00:33 +0700] "GET /QLCaNhan/plugin/lib/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:00:00:33 +0700] "GET /QLCaNhan/plugin/fullcalendar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:00:00:33 +0700] "GET /QLCaNhan/bootstrap/js.js HTTP/1.1" 304 -
